project,artifactid,groupId,name,path
geomajas-project-server,geomajas-testdata,org.geomajas,Geomajas server: Main - test data,/testdata
geomajas-project-server,geomajas-server-documenatation,org.geomajas.documentation,Geomajas Server: Main - Documentation,/documentation
geomajas-project-server,geomajas-project-server-javadoc,org.geomajas.project,Geomajas Server: Javadoc,/javadoc
geomajas-project-server,geomajas-server-plugin-parent,org.geomajas,Geomajas server: Plugin parent,/plugin
geomajas-project-server,geomajas-server-plugin-cache-parent,org.geomajas.plugin,Geomajas server: Plugin cache – Parent,/plugin/cache
geomajas-project-server,geomajas-plugin-cache-documentation,org.geomajas.plugin,Geomajas server: Plugin cache – Documentation,/plugin/cache/cache-documentation
geomajas-project-server,geomajas-plugin-cache-infinispan,org.geomajas.plugin,Geomajas server: Plugin cache – Infinispan,/plugin/cache/cache-infinispan
geomajas-project-server,geomajas-plugin-cache,org.geomajas.plugin,Geomajas server: Plugin cache – Implementation,/plugin/cache/cache
geomajas-project-server,geomajas-server-plugin-cache-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Cache - Javadoc,/plugin/cache/cache-javadoc
geomajas-project-server,geomajas-server-face-rest-parent,org.geomajas.plugin,Geomajas server: REST – Parent,/plugin/face-rest
geomajas-project-server,geomajas-face-rest-documentation,org.geomajas.documentation,Geomajas server: REST – Documentation,/plugin/face-rest/face-rest-documentation
geomajas-project-server,geomajas-face-rest-example,org.geomajas,Geomajas server: REST – Example,/plugin/face-rest/face-rest-example
geomajas-project-server,geomajas-face-rest,org.geomajas,Geomajas server: REST – Implementation,/plugin/face-rest/face-rest
geomajas-project-server,geomajas-server-plugin-face-rest-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Face Rest - Javadoc,/plugin/face-rest/face-rest-javadoc
geomajas-project-server,geomajas-server-plugin-geocoder-parent,org.geomajas.plugin,Geomajas server: Plugin geocoder – Parent,/plugin/geocoder
geomajas-project-server,geomajas-plugin-geocoder,org.geomajas.plugin,Geomajas server: Plugin geocoder – Implementation,/plugin/geocoder/geocoder
geomajas-project-server,geomajas-plugin-geocoder-documentation,org.geomajas.plugin,Geomajas server: Plugin geocoder - Documentation,/plugin/geocoder/geocoder-documentation
geomajas-project-server,geomajas-server-plugin-geocoder-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Geocoder - Javadoc,/plugin/geocoder/geocoder-javadoc
geomajas-project-server,geomajas-server-layer-common-parent,org.geomajas.plugin,Geomajas server: Layer common – Parent,/plugin/layer-common
geomajas-project-server,geomajas-layer-common-documentation,org.geomajas.plugin,Geomajas server: Layer common – Documentation,/plugin/layer-common/layer-common-documentation
geomajas-project-server,geomajas-plugin-layer-common,org.geomajas.plugin,Geomajas server: Layer common – Implementation,/plugin/layer-common/layer-common
geomajas-project-server,geomajas-server-plugin-layer-common-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Layer Common - Javadoc,/plugin/layer-common/layer-common-javadoc
geomajas-project-server,geomajas-server-layer-geotools-parent,org.geomajas.plugin,Geomajas server: Layer geotools – Parent,/plugin/layer-geotools
geomajas-project-server,geomajas-layer-geotools-documentation,org.geomajas.plugin,Geomajas server: Layer geotools – Documentation,/plugin/layer-geotools/geotools-documentation
geomajas-project-server,geomajas-layer-geotools,org.geomajas.plugin,Geomajas server: Layer geotools – Implementation,/plugin/layer-geotools/geotools
geomajas-project-server,geomajas-server-plugin-layer-geotools-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Layer Geotools - Javadoc,/plugin/layer-geotools/geotools-javadoc
geomajas-project-server,geomajas-server-layer-googlemaps-parent,org.geomajas.plugin,Geomajas server: Layer googlemaps – Parent,/plugin/layer-googlemaps
geomajas-project-server,geomajas-layer-googlemaps-documentation,org.geomajas.plugin,Geomajas server: Layer googlemaps – Documentation,/plugin/layer-googlemaps/googlemaps-documentation
geomajas-project-server,geomajas-layer-googlemaps,org.geomajas.plugin,Geomajas server: Layer googlemaps – Implementation,/plugin/layer-googlemaps/googlemaps
geomajas-project-server,geomajas-server-plugin-layer-googlemaps-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Layer Googlemaps - Javadoc,/plugin/layer-googlemaps/googlemaps-javadoc
geomajas-project-server,geomajas-server-layer-hibernate-parent,org.geomajas.plugin,Geomajas server: Layer hibernate – Parent,/plugin/layer-hibernate
geomajas-project-server,geomajas-layer-hibernate-documentation,org.geomajas.plugin,Geomajas server: Layer hibernate – Documentation,/plugin/layer-hibernate/hibernate-documentation
geomajas-project-server,geomajas-layer-hibernate,org.geomajas.plugin,Geomajas server: Layer hibernate – Implementation,/plugin/layer-hibernate/hibernate
geomajas-project-server,geomajas-server-plugin-layer-hibernate-javadoc,org.geomajas.plugin,Geomajas Server: Plugin Layer Hibernate - Javadoc,/plugin/layer-hibernate/hibernate-javadoc
geomajas-project-server,geomajas-server-layer-openstreetmap-parent,org.geomajas.plugin,Geomajas server: Layer openstreetmap – Parent,/plugin/layer-openstreetmap
geomajas-project-server,geomajas-layer-openstreetmap-documentation,org.geomajas.plugin,Geomajas server: Layer openstreetmap – Documentation,/plugin/layer-openstreetmap/openstreetmap-documentation
geomajas-project-server,geomajas-layer-openstreetmap,org.geomajas.plugin,Geomajas server: Layer openstreetmap – Implementation,/plugin/layer-openstreetmap/openstreetmap
geomajas-project-server,geomajas-server-plugin-layer-openstreetmap-javadoc,org.geomajas.plugin,Geomajas server: Layer openstreetmap – Javadoc,/plugin/layer-openstreetmap/openstreetmap-javadoc
geomajas-project-server,geomajas-server-layer-tms-parent,org.geomajas.plugin,Geomajas server: Layer TMS – Parent,/plugin/layer-tms
geomajas-project-server,geomajas-layer-tms-documentation,org.geomajas.plugin,Geomajas server: Layer TMS – Documentation,/plugin/layer-tms/tms-documentation
geomajas-project-server,geomajas-layer-tms,org.geomajas.plugin,Geomajas server: Layer TMS – Implementation,/plugin/layer-tms/tms
geomajas-project-server,geomajas-server-plugin-layer-tms-javadoc,org.geomajas.plugin,Geomajas server: Layer TMS – Javadoc,/plugin/layer-tms/tms-javadoc
geomajas-project-server,geomajas-server-layer-wms-parent,org.geomajas.plugin,Geomajas server: Layer WMS – Parent,/plugin/layer-wms
geomajas-project-server,geomajas-layer-wms-documentation,org.geomajas.plugin,Geomajas server: Layer WMS – Documentation,/plugin/layer-wms/wms-documentation
geomajas-project-server,geomajas-layer-wms,org.geomajas.plugin,Geomajas server: Layer WMS – Implementation,/plugin/layer-wms/wms
geomajas-project-server,geomajas-server-plugin-layer-wms-javadoc,org.geomajas.plugin,Geomajas server: Layer WMS – Javadoc,/plugin/layer-wms/wms-javadoc
geomajas-project-server,geomajas-server-plugin-print-parent,org.geomajas.plugin,Geomajas server: Plugin print – Parent,/plugin/print
geomajas-project-server,geomajas-plugin-print,org.geomajas.plugin,Geomajas server: Plugin print – Implementation,/plugin/print/print
geomajas-project-server,geomajas-plugin-print-documentation,org.geomajas.plugin,Geomajas server: Plugin print – Documentation,/plugin/print/print-documentation
geomajas-project-server,geomajas-server-plugin-print-javadoc,org.geomajas.plugin,Geomajas server: Plugin print – Javadoc,/plugin/print/print-javadoc
geomajas-project-server,geomajas-server-plugin-profiling-parent,org.geomajas.plugin,Geomajas server: Plugin profiling – Parent,/plugin/profiling
geomajas-project-server,profiling-documentation,org.geomajas.plugin,Geomajas server: Plugin profiling – Documentation,/plugin/profiling/profiling-documentation
geomajas-project-server,geomajas-plugin-profiling,org.geomajas.plugin,Geomajas server: Plugin profiling – Implementation,/plugin/profiling/profiling
