project,artifactid,groupId,release version
geomajas-project-server,geomajas-server-layer-tms-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-tms-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-tms,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-layer-wms-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-wms-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-wms,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-print-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-print,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-profiling-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,profiling-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-profiling,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-rasterizing-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,rasterizing-documentation,org.geomajas.plugin,1.16.1n
geomajas-project-server,geomajas-plugin-rasterizing,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-reporting-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-reporting-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-reporting,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-runtimeconfig-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-runtimeconfig-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-runtimeconfig,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-staticsecurity-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-staticsecurity-ldap,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-staticsecurity,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-plugin-vendorspecificpipeline-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-vendorspecificpipeline-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-vendorspecificpipeline,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-testdata,org.geomajas,1.16.1
